"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"81",0,1,31,3,32,60,24,3,7,0,1,0,0,0,0,0,0,0,0,0,0
"82",0,2,35,1,20,62,44,8,25,1,1,0,0,0,0,0,0,0,0,0,0
"83",0,1,19,2,35,83,36,6,41,0,1,0,2,0,0,0,0,0,0,0,0
"84",0,0,23,1,30,58,49,12,47,1,0,0,18,1,3,0,0,0,0,0,0
"85",0,0,8,2,11,57,40,7,50,0,1,0,23,3,7,0,0,0,0,0,0
"86",0,0,1,1,7,23,22,4,34,0,2,0,36,6,25,0,0,0,0,0,0
"87",0,0,0,0,3,12,14,5,27,2,0,0,55,8,35,0,0,0,1,0,0
"88",0,0,0,0,0,6,5,4,34,0,0,0,61,9,59,1,0,1,5,0,0
"89",0,0,0,0,0,1,5,3,26,0,1,0,61,6,83,1,1,0,9,0,0
"90",0,0,0,0,0,0,1,0,3,1,0,0,45,12,105,1,0,2,16,1,0
"91",0,3,38,3,21,65,27,6,11,0,0,0,0,0,0,0,0,0,0,0,0
"92",0,2,26,1,23,87,35,5,27,2,0,0,0,0,0,0,0,0,0,0,0
"93",0,1,11,0,27,77,35,6,37,2,0,0,2,1,0,0,0,0,0,0,0
"94",0,0,17,1,25,65,40,12,39,1,0,0,21,0,1,0,0,0,0,0,0
"95",0,0,4,0,15,35,28,13,47,4,0,0,33,0,8,0,0,0,0,0,0
"96",0,0,1,1,12,36,15,3,38,0,1,0,49,3,27,0,0,0,0,0,0
"97",0,0,0,0,1,12,16,1,34,2,1,0,49,7,31,0,0,0,3,0,0
"98",0,0,0,0,0,6,4,1,19,1,3,0,45,3,60,0,0,0,7,0,0
"99",0,0,0,0,0,2,0,0,9,1,0,0,51,5,68,2,0,1,10,3,1
"100",0,0,0,0,0,0,0,0,2,0,0,0,47,3,96,0,0,2,23,1,2
